name,type,phone,area,street,city,zip_code,state,rating,reviews,photos_count,working_hours,business_status,price_range,verified
Flying Monkey Cafe,American restaurant,+1 217-359-5565,None,3902 S Duncan Rd,Champaign,61822,Illinois,4.3,31,110,"{""Monday"": ""11 AM-2 PM"", ""Tuesday"": ""11 AM-2 PM"", ""Wednesday"": ""11 AM-2 PM"", ""Thursday"": ""11 AM-2 PM"", ""Friday"": ""11 AM-2 PM"", ""Saturday"": ""11 AM-4 PM"", ""Sunday"": ""11 AM-4 PM""}",OPERATIONAL,,TRUE
Four American Grill - Four Breakfast & More,Breakfast restaurant,+1 217-954-1126,Campustown,401 E Green St,Champaign,61820,Illinois,4.2,178,46,"{""Monday"": ""8 AM-2 PM,10 PM-3 AM"", ""Tuesday"": ""8 AM-2 PM,10 PM-3 AM"", ""Wednesday"": ""8 AM-2 PM,10 PM-3 AM"", ""Thursday"": ""8 AM-2 PM,10 PM-3 AM"", ""Friday"": ""8 AM-3 AM"", ""Saturday"": ""8 AM-3 AM"", ""Sunday"": ""8 AM-4 PM""}",OPERATIONAL,$$,TRUE
Golden Harbor Authentic Chinese Cuisine,Chinese restaurant,+1 217-398-8988,None,505 S Neil St,Champaign,61820,Illinois,4.5,1059,2898,"{""Monday"": ""Closed"", ""Tuesday"": ""11 AM-2:45 PM,4:30-7:45 PM"", ""Wednesday"": ""11 AM-2:45 PM,4:30-7:45 PM"", ""Thursday"": ""11 AM-2:45 PM,4:30-7:45 PM"", ""Friday"": ""11 AM-2:45 PM,4:30-7:45 PM"", ""Saturday"": ""11 AM-2:45 PM,4:30-7:45 PM"", ""Sunday"": ""11:30 AM-2:45 PM,4:30-7 PM""}",OPERATIONAL,$$,TRUE
GOLDEN WHEAT(LAO BIAO 老表),Chinese restaurant,+1 217-866-1586,Campustown,611 E Green St suite a,Champaign,61820,Illinois,4.2,118,226,"{""Monday"": ""Closed"", ""Tuesday"": ""11 AM-8 PM"", ""Wednesday"": ""11 AM-8 PM"", ""Thursday"": ""11 AM-8 PM"", ""Friday"": ""11 AM-8 PM"", ""Saturday"": ""12-8 PM"", ""Sunday"": ""12-8 PM""}",OPERATIONAL,$,TRUE
Golden Wok,Thai restaurant,+1 217-356-8383,None,405 E University Ave,Champaign,61820,Illinois,4.2,249,395,"{""Monday"": ""11 AM-8:30 PM"", ""Tuesday"": ""11 AM-8:30 PM"", ""Wednesday"": ""11 AM-8:30 PM"", ""Thursday"": ""11 AM-8:30 PM"", ""Friday"": ""11 AM-8:30 PM"", ""Saturday"": ""11 AM-8:30 PM"", ""Sunday"": ""11 AM-8:30 PM""}",OPERATIONAL,$,TRUE
Guido's Bar & Grill,Bar & grill,+1 217-359-3148,Downtown Champaign,2 E Main St,Champaign,61820,Illinois,4.2,941,232,"{""Monday"": ""11 AM-12 AM"", ""Tuesday"": ""11 AM-12 AM"", ""Wednesday"": ""11 AM-12 AM"", ""Thursday"": ""11 AM-12 AM"", ""Friday"": ""11 AM-2 AM"", ""Saturday"": ""11 AM-2 AM"", ""Sunday"": ""11 AM-12 AM""}",OPERATIONAL,$$,TRUE
Hamilton Walker's,Steak house,+1 217-350-0363,Downtown Champaign,201 N Neil St,Champaign,61820,Illinois,4.4,781,602,"{""Monday"": ""Closed"", ""Tuesday"": ""4-8:30 PM"", ""Wednesday"": ""4-8:30 PM"", ""Thursday"": ""4-8:30 PM"", ""Friday"": ""4-9 PM"", ""Saturday"": ""4-9 PM"", ""Sunday"": ""4-8:30 PM""}",OPERATIONAL,$$$,TRUE
Hickory River Smokehouse,Barbecue restaurant,+1 217-337-1656,None,1706 N Cunningham Ave,Urbana,61802,Illinois,4.3,1131,104,"{""Monday"": ""11 AM-8 PM"", ""Tuesday"": ""11 AM-8 PM"", ""Wednesday"": ""11 AM-8 PM"", ""Thursday"": ""11 AM-8 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""11 AM-8 PM""}",OPERATIONAL,$$,TRUE
Homegrown,Restaurant,+1 217-600-7137,None,2600 S Stone Creek Blvd,Urbana,61802,Illinois,3.4,61,18,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""10 AM-9 PM"", ""Sunday"": ""10 AM-9 PM""}",OPERATIONAL,$,TRUE
Hot Wok Express（九号食堂）,Chinese restaurant,+1 217-384-7170,None,1102 W University Ave,Urbana,61801,Illinois,3.7,303,60,"{""Monday"": ""11 AM-8 PM"", ""Tuesday"": ""11 AM-8 PM"", ""Wednesday"": ""11 AM-8 PM"", ""Thursday"": ""11 AM-8 PM"", ""Friday"": ""11 AM-8 PM"", ""Saturday"": ""11 AM-8 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,$,TRUE
Houlihan's,American restaurant,+1 217-819-5005,None,1902 S 1st St,Champaign,61820,Illinois,4.1,507,167,"{""Monday"": ""Closed"", ""Tuesday"": ""11 AM-2 PM,5-9 PM"", ""Wednesday"": ""11 AM-2 PM,5-9 PM"", ""Thursday"": ""11 AM-2 PM,5-9 PM"", ""Friday"": ""11 AM-2 PM,5-9 PM"", ""Saturday"": ""11 AM-2 PM,5-9 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,$$,TRUE
Huaraches Moroleon,Mexican restaurant,+1 217-344-6772,None,805 Philo Rd,Urbana,61801,Illinois,4.6,1439,445,"{""Monday"": ""Closed"", ""Tuesday"": ""10 AM-9 PM"", ""Wednesday"": ""10 AM-9 AM"", ""Thursday"": ""10 AM-9 PM"", ""Friday"": ""10 AM-9 PM"", ""Saturday"": ""9 AM-9 PM"", ""Sunday"": ""9 AM-8 PM""}",OPERATIONAL,$,TRUE
Jerusalem Middle Eastern Cuisine,Middle Eastern restaurant,+1 217-344-8760,Campustown,601 S Wright St,Champaign,61820,Illinois,4.4,214,89,"{""Monday"": ""11 AM-6 PM"", ""Tuesday"": ""11 AM-6 PM"", ""Wednesday"": ""11 AM-6 PM"", ""Thursday"": ""11 AM-6 PM"", ""Friday"": ""11 AM-6 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,$,FALSE
Jet's Pizza,Restaurant,+1 217-352-3333,Campustown,512 S Neil St Ste. B,Champaign,61820,Illinois,4.1,311,40,"{""Monday"": ""10 AM-10 PM"", ""Tuesday"": ""10 AM-10 PM"", ""Wednesday"": ""10 AM-10 PM"", ""Thursday"": ""10 AM-10 PM"", ""Friday"": ""10 AM-11 PM"", ""Saturday"": ""10 AM-11 PM"", ""Sunday"": ""11 AM-10 PM""}",OPERATIONAL,$,TRUE
Jimmy John's,Sandwich shop,+1 217-344-4443,Campustown,601 E Green St,Champaign,61820,Illinois,3.1,20,13,"{""Monday"": ""10 AM-3 AM"", ""Tuesday"": ""10 AM-3 AM"", ""Wednesday"": ""10 AM-3 AM"", ""Thursday"": ""10 AM-3 AM"", ""Friday"": ""10 AM-3 AM"", ""Saturday"": ""10 AM-3 AM"", ""Sunday"": ""10 AM-3 AM""}",OPERATIONAL,$,TRUE
Jimmy John's,Sandwich shop,+1 217-328-2700,None,102 E University Ave Ste. A,Urbana,61801,Illinois,3.8,287,22,"{""Monday"": ""10 AM-11 PM"", ""Tuesday"": ""10 AM-11 PM"", ""Wednesday"": ""10 AM-11 PM"", ""Thursday"": ""10 AM-11 PM"", ""Friday"": ""10 AM-11 PM"", ""Saturday"": ""10 AM-11 PM"", ""Sunday"": ""10 AM-11 PM""}",OPERATIONAL,$,TRUE
Jimmy John's,Sandwich shop,+1 217-328-3100,None,807 S Lincoln Ave,Urbana,61801,Illinois,3.9,159,26,"{""Monday"": ""10 AM-3 AM"", ""Tuesday"": ""10 AM-3 AM"", ""Wednesday"": ""10 AM-3 AM"", ""Thursday"": ""10 AM-3 AM"", ""Friday"": ""10 AM-3 AM"", ""Saturday"": ""10 AM-3 AM"", ""Sunday"": ""10 AM-3 AM""}",OPERATIONAL,$,TRUE
Jip Bap,Korean restaurant,+1 217-552-1688,Campustown,601 S 6th St Suite 101,Champaign,61820,Illinois,4.4,320,272,"{""Monday"": ""10:30 AM-9 PM"", ""Tuesday"": ""10:30 AM-9 PM"", ""Wednesday"": ""10:30 AM-9 PM"", ""Thursday"": ""10:30 AM-9 PM"", ""Friday"": ""10:30 AM-9 PM"", ""Saturday"": ""10:30 AM-9 PM"", ""Sunday"": ""10:30 AM-9 PM""}",OPERATIONAL,$,TRUE
Joe's Brewery,Bar,+1 217-384-1790,Campustown,706 S 5th St,Champaign,61820,Illinois,4.1,395,108,"{""Monday"": ""9 PM-2 AM"", ""Tuesday"": ""9 PM-2 AM"", ""Wednesday"": ""9 PM-2 AM"", ""Thursday"": ""9 PM-2 AM"", ""Friday"": ""5 PM-2 AM"", ""Saturday"": ""11 AM-2 AM"", ""Sunday"": ""9 PM-2 AM""}",OPERATIONAL,$,TRUE
Jupiter's At The Crossing,Pizza restaurant,+1 217-366-8300,None,2511 Village Green Pl,Champaign,61822,Illinois,4.1,1575,349,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-10:30 PM"", ""Saturday"": ""11 AM-10:30 PM"", ""Sunday"": ""11 AM-9 AM""}",OPERATIONAL,$$,TRUE
Jupiter's Pizzeria & Billiards,Pizza restaurant,+1 217-398-5988,Downtown Champaign,39 E Main St,Champaign,61820,Illinois,4.3,677,155,"{""Monday"": ""11 AM-11:59 PM"", ""Tuesday"": ""11 AM-11:59 PM"", ""Wednesday"": ""11 AM-11:59 PM"", ""Thursday"": ""11 AM-11:59 PM"", ""Friday"": ""11 AM-11:59 PM"", ""Saturday"": ""11 AM-11:59 PM"", ""Sunday"": ""11 AM-11:59 PM""}",OPERATIONAL,$$,TRUE
Jurassic Grill,Restaurant,+1 217-954-1871,Campustown,404 E Green St #5866,Champaign,61820,Illinois,4.2,338,87,"{""Monday"": ""11 AM-3 AM"", ""Tuesday"": ""11 AM-3 AM"", ""Wednesday"": ""11 AM-3 AM"", ""Thursday"": ""11 AM-3 AM"", ""Friday"": ""11 AM-3 AM"", ""Saturday"": ""11 AM-3 AM"", ""Sunday"": ""11 AM-12 AM""}",OPERATIONAL,$,TRUE
K Bowl Inc.,Restaurant,+1 217-344-6022,Campustown,39 E Green St,Champaign,61820,Illinois,4.4,33,15,"{""Monday"": ""Closed"", ""Tuesday"": ""12-2:30 PM,5-9:30 PM"", ""Wednesday"": ""12-2:30 PM,5-9:30 PM"", ""Thursday"": ""12-2:30 PM,5-9:30 PM"", ""Friday"": ""12-2:30 PM,5-9:30 PM"", ""Saturday"": ""12-2:30 PM,5-9:30 PM"", ""Sunday"": ""12-2:30 PM,5-9 PM""}",OPERATIONAL,$,TRUE
KFC,Chicken restaurant,+1 217-328-3379,None,410 W University Ave,Urbana,61801,Illinois,3.4,756,64,"{""Monday"": ""10:30 AM-11 PM"", ""Tuesday"": ""10:30 AM-11 PM"", ""Wednesday"": ""10:30 AM-11 PM"", ""Thursday"": ""10:30 AM-11 PM"", ""Friday"": ""10:30 AM-11 PM"", ""Saturday"": ""10:30 AM-11 PM"", ""Sunday"": ""10:30 AM-11 PM""}",OPERATIONAL,$,TRUE
Ko Fusion,Asian fusion restaurant,+1 217-531-1166,Downtown Champaign,30 E Main St,Champaign,61820,Illinois,4.3,1010,556,"{""Monday"": ""11 AM-9:30 PM"", ""Tuesday"": ""11 AM-9:30 PM"", ""Wednesday"": ""11 AM-9:30 PM"", ""Thursday"": ""11 AM-9:30 PM"", ""Friday"": ""11 AM-10:30 PM"", ""Saturday"": ""11 AM-10:30 PM"", ""Sunday"": ""11 AM-9:30 PM""}",OPERATIONAL,$$$,TRUE
KoFusion Urbana,Restaurant,+1 217-954-1572,None,701 S Gregory St,Urbana,61801,Illinois,4.2,226,220,"{""Monday"": ""11 AM-8 PM"", ""Tuesday"": ""11 AM-8 PM"", ""Wednesday"": ""11 AM-8 PM"", ""Thursday"": ""11 AM-8 PM"", ""Friday"": ""11 AM-8 PM"", ""Saturday"": ""11 AM-8 PM"", ""Sunday"": ""11 AM-8 PM""}",OPERATIONAL,$$,TRUE
Kung Fu BBQ,Hot pot restaurant,+1 217-355-1888,Campustown,510 E John St,Champaign,61820,Illinois,3.3,188,343,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,$,TRUE
Kung Fu Tea,Bubble tea store,+1 217-552-1668,Campustown,707 S 6th St Suite 107,Champaign,61820,Illinois,4.5,397,468,"{""Monday"": ""11 AM-10 PM"", ""Tuesday"": ""11 AM-10 PM"", ""Wednesday"": ""11 AM-10 PM"", ""Thursday"": ""11 AM-10 PM"", ""Friday"": ""11 AM-10 PM"", ""Saturday"": ""11 AM-10 PM"", ""Sunday"": ""11 AM-10 PM""}",OPERATIONAL,$,TRUE
La Bahía Grill,Restaurant,+1 217-607-5958,Downtown Champaign,132 W Church St,Champaign,61820,Illinois,4.5,128,106,"{""Monday"": ""8 AM-10 PM"", ""Tuesday"": ""8 AM-10 PM"", ""Wednesday"": ""8 AM-10 PM"", ""Thursday"": ""8 AM-10 PM"", ""Friday"": ""8 AM-11 PM"", ""Saturday"": ""8 AM-11 PM"", ""Sunday"": ""8 AM-9 PM""}",OPERATIONAL,$$,TRUE
La Mixteca Restaurant,Mexican restaurant,+1 217-552-1544,None,510 N Cunningham Ave #4,Urbana,61802,Illinois,4.3,486,231,"{""Monday"": ""10 AM-9 PM"", ""Tuesday"": ""10 AM-9 PM"", ""Wednesday"": ""10 AM-9 PM"", ""Thursday"": ""10 AM-9 PM"", ""Friday"": ""10 AM-9 PM"", ""Saturday"": ""9 AM-9 PM"", ""Sunday"": ""9 AM-9 PM""}",OPERATIONAL,$$,TRUE
Lai Lai Wok,Chinese restaurant,+1 217-328-1888,Campustown,402 E Green St,Champaign,61820,Illinois,4,274,1058,"{""Monday"": ""11 AM-10:30 PM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""11 AM-10:30 PM"", ""Thursday"": ""11 AM-10:30 PM"", ""Friday"": ""11 AM-10:30 PM"", ""Saturday"": ""11 AM-10:30 PM"", ""Sunday"": ""11 AM-10:30 PM""}",OPERATIONAL,$,TRUE
Le Peep,Breakfast restaurant,+1 217-352-7599,None,2209 S Neil St,Champaign,61820,Illinois,4.5,805,327,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""7 AM-1:30 PM"", ""Thursday"": ""7 AM-1:30 PM"", ""Friday"": ""7 AM-1:30 PM"", ""Saturday"": ""7 AM-1:30 PM"", ""Sunday"": ""7 AM-1:30 PM""}",OPERATIONAL,$$,TRUE
Little Caesars Pizza,Pizza restaurant,+1 217-600-7538,None,703 S Neil St SUITE A,Champaign,61820,Illinois,3.6,398,33,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""11 AM-9 PM""}",OPERATIONAL,$,TRUE
Maize at the Station,Mexican restaurant,+1 217-355-3611,Downtown Champaign,100 N Chestnut St,Champaign,61820,Illinois,4.4,1139,435,"{""Monday"": ""10:30 AM-10 PM"", ""Tuesday"": ""10:30 AM-10 PM"", ""Wednesday"": ""10:30 AM-10 PM"", ""Thursday"": ""10:30 AM-10 PM"", ""Friday"": ""10:30 AM-10 PM"", ""Saturday"": ""10 AM-10 PM"", ""Sunday"": ""10 AM-9 PM""}",OPERATIONAL,$,TRUE
Maize Mexican Grill,Mexican restaurant,+1 217-355-6400,Campustown,60 E Green St,Champaign,61820,Illinois,4.5,1188,234,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""11 AM-9 PM""}",OPERATIONAL,$,TRUE
Manolo's Pizza & Empanadas,Pizza restaurant,+1 217-365-0110,None,1115 W Oregon St,Urbana,61801,Illinois,4.4,476,65,"{""Monday"": ""11 AM-8 PM"", ""Tuesday"": ""11 AM-8 PM"", ""Wednesday"": ""11 AM-8 PM"", ""Thursday"": ""11 AM-8 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,$,TRUE
Masijta Grill korean BBQ,Korean restaurant,+1 217-552-1188,None,202 N Race St,Urbana,61801,Illinois,4,491,795,"{""Monday"": ""11 AM-10 PM"", ""Tuesday"": ""11 AM-10 PM"", ""Wednesday"": ""11 AM-10 PM"", ""Thursday"": ""11 AM-10 PM"", ""Friday"": ""11 AM-11 PM"", ""Saturday"": ""11 AM-11 PM"", ""Sunday"": ""11 AM-10 PM""}",OPERATIONAL,$$,TRUE
McAlister's Deli,Sandwich shop,+1 217-355-6480,None,421 W Town Center Blvd,Champaign,61820,Illinois,4.2,704,79,"{""Monday"": ""10 AM-8 PM"", ""Tuesday"": ""10 AM-8 PM"", ""Wednesday"": ""10 AM-8 PM"", ""Thursday"": ""10 AM-8 PM"", ""Friday"": ""10 AM-9 PM"", ""Saturday"": ""10 AM-9 PM"", ""Sunday"": ""10 AM-8 PM""}",OPERATIONAL,$$,TRUE
McDonald's,Fast food restaurant,+1 217-355-4862,None,906 W Bloomington Rd,Champaign,61821,Illinois,3.1,1115,70,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,$,TRUE
McDonald's,Fast food restaurant,+1 217-356-6679,None,1605 S Neil St,Champaign,61820,Illinois,3.2,1266,109,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,$,TRUE
McDonald's,Fast food restaurant,+1 217-337-6599,None,1705 S Philo Rd,Urbana,61801,Illinois,3.3,567,63,"{""Monday"": ""5:30 AM-11 PM"", ""Tuesday"": ""5:30 AM-11 PM"", ""Wednesday"": ""5:30 AM-11 PM"", ""Thursday"": ""5:30 AM-11 PM"", ""Friday"": ""5:30 AM-11 PM"", ""Saturday"": ""5:30 AM-11 PM"", ""Sunday"": ""6 AM-11 PM""}",OPERATIONAL,$,TRUE
McDonald's,Fast food restaurant,+1 217-367-3722,None,601 N Cunningham Ave,Urbana,61801,Illinois,3.4,1488,136,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,$,TRUE
McDonald's,Fast food restaurant,+1 217-359-5251,None,1812 N Neil St,Champaign,61820,Illinois,3.5,1227,165,"{""Monday"": ""5 AM-11 PM"", ""Tuesday"": ""5 AM-11 PM"", ""Wednesday"": ""5 AM-11 PM"", ""Thursday"": ""5 AM-11 PM"", ""Friday"": ""5 AM-11 PM"", ""Saturday"": ""5 AM-11 PM"", ""Sunday"": ""5 AM-11 PM""}",CLOSED_TEMPORARILY,$,TRUE
McDonald's,Fast food restaurant,+1 217-384-4834,Campustown,616 E Green St,Champaign,61820,Illinois,3.5,804,121,"{""Monday"": ""6 AM-3 AM"", ""Tuesday"": ""6 AM-3 AM"", ""Wednesday"": ""6 AM-3 AM"", ""Thursday"": ""6 AM-3 AM"", ""Friday"": ""6 AM-3 AM"", ""Saturday"": ""6 AM-3 AM"", ""Sunday"": ""6 AM-3 AM""}",OPERATIONAL,$,TRUE
Merry Ann's Diner (Original),Diner,+1 217-352-5399,None,1510 S Neil St,Champaign,61820,Illinois,4.5,1644,314,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",OPERATIONAL,$,TRUE
Mia Za's,Italian restaurant,+1 217-298-3198,Campustown,629 E Green St #5701,Champaign,61820,Illinois,4.4,656,207,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-10 PM"", ""Saturday"": ""11 AM-10 PM"", ""Sunday"": ""11 AM-9 PM""}",OPERATIONAL,$,TRUE
Mid Summer Lounge,Restaurant,+1 217-607-1434,Campustown,623 E Green St,Champaign,61820,Illinois,4.3,294,461,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""11 AM-9 PM""}",OPERATIONAL,$$,TRUE
Moki Sushi,Sushi restaurant,+1 217-552-1600,None,2017 S Neil St,Champaign,61820,Illinois,3.5,526,846,"{""Monday"": ""Closed"", ""Tuesday"": ""5-10 PM"", ""Wednesday"": ""12-10 PM"", ""Thursday"": ""12-10 PM"", ""Friday"": ""12-10 PM"", ""Saturday"": ""12-10 PM"", ""Sunday"": ""12-10 PM""}",OPERATIONAL,,TRUE
Mo's Burritos Restaurant,Mexican restaurant,+1 217-607-8131,None,705 N Neil St,Champaign,61820,Illinois,4.7,134,20,"{""Monday"": ""10 AM-9 PM"", ""Tuesday"": ""10 AM-9 PM"", ""Wednesday"": ""10 AM-9 PM"", ""Thursday"": ""10 AM-9 PM"", ""Friday"": ""10 AM-9 PM"", ""Saturday"": ""10 AM-9 PM"", ""Sunday"": ""10 AM-8 PM""}",OPERATIONAL,,TRUE
Nando Milano,Italian restaurant,+1 217-954-1439,Downtown Champaign,204 N Neil St,Champaign,61820,Illinois,4.3,481,403,"{""Monday"": ""5-10 PM"", ""Tuesday"": ""5-10 PM"", ""Wednesday"": ""5-10 PM"", ""Thursday"": ""5-10 PM"", ""Friday"": ""5-11 PM"", ""Saturday"": ""5-11 PM"", ""Sunday"": ""4-9 PM""}",OPERATIONAL,$$,TRUE
Nanjing Bistro,Restaurant,+1 217-819-2026,Campustown,508 E Green St,Champaign,61820,Illinois,3.9,41,479,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""11 AM-9 PM""}",OPERATIONAL,$,TRUE
Naya Indian Cuisine,Indian restaurant,+1 217-334-0064,Campustown,212 E Green St Ste #104,Champaign,61820,Illinois,4.4,327,229,"{""Monday"": ""11 AM-2:30 PM,5-11 PM"", ""Tuesday"": ""11 AM-2:30 PM,5-11 PM"", ""Wednesday"": ""11 AM-2:30 PM,5-11 PM"", ""Thursday"": ""11 AM-2:30 PM,5-11 PM"", ""Friday"": ""11 AM-2:30 PM,5-11 PM"", ""Saturday"": ""11 AM-2:30 PM,5-11 PM"", ""Sunday"": ""11 AM-2:30 PM,5-11 PM""}",OPERATIONAL,$$,TRUE
Neil St. Blues,Soul food restaurant,+1 217-531-1150,Downtown Champaign,301 N Neil St #106,Champaign,61820,Illinois,4.5,832,415,"{""Monday"": ""Closed"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-10 PM"", ""Saturday"": ""11 AM-10 PM"", ""Sunday"": ""11 AM-7 PM""}",OPERATIONAL,$$,TRUE
Northern Cuisine,Chinese restaurant,+1 217-607-1299,Campustown,404 E Green St,Champaign,61820,Illinois,4.7,31,329,"{""Monday"": ""11 AM-9 PM"", ""Tuesday"": ""11 AM-9 PM"", ""Wednesday"": ""11 AM-9 PM"", ""Thursday"": ""11 AM-9 PM"", ""Friday"": ""11 AM-9 PM"", ""Saturday"": ""11 AM-9 PM"", ""Sunday"": ""11 AM-9 PM""}",OPERATIONAL,$$,TRUE
Olive Garden Italian Restaurant,Italian restaurant,+1 217-351-6339,None,30 E Anthony Dr,Champaign,61820,Illinois,4.2,2585,552,"{""Monday"": ""11 AM-10 PM"", ""Tuesday"": ""11 AM-10 PM"", ""Wednesday"": ""11 AM-10 PM"", ""Thursday"": ""11 AM-10 PM"", ""Friday"": ""11 AM-11 PM"", ""Saturday"": ""11 AM-11 PM"", ""Sunday"": ""11 AM-10 PM""}",OPERATIONAL,$$,TRUE
Oozu Ramen,Ramen restaurant,+1 217-552-1081,Campustown,601 S 6th St #102,Champaign,61820,Illinois,4.3,533,647,"{""Monday"": ""11 AM-10 PM"", ""Tuesday"": ""11 AM-10 PM"", ""Wednesday"": ""11 AM-10 PM"", ""Thursday"": ""11 AM-10 PM"", ""Friday"": ""11:30 AM-10:30 PM"", ""Saturday"": ""11:30 AM-10:30 PM"", ""Sunday"": ""11 AM-10 PM""}",OPERATIONAL,$$,TRUE
Panda Express,Chinese restaurant,+1 217-367-1371,None,106 E University Ave,Urbana,61801,Illinois,3.8,404,26,"{""Monday"": ""10:30 AM-9:30 PM"", ""Tuesday"": ""10:30 AM-9:30 PM"", ""Wednesday"": ""10:30 AM-9:30 PM"", ""Thursday"": ""10:30 AM-9:30 PM"", ""Friday"": ""10:30 AM-9 PM"", ""Saturday"": ""10:30 AM-9 PM"", ""Sunday"": ""10:30 AM-8 PM""}",OPERATIONAL,$,TRUE
Panera Bread,Cafe,+1 217-239-5000,None,1903 Convenience Pl,Champaign,61820,Illinois,4,985,519,"{""Monday"": ""7 AM-9 PM"", ""Tuesday"": ""7 AM-9 PM"", ""Wednesday"": ""7 AM-9 PM"", ""Thursday"": ""7 AM-9 PM"", ""Friday"": ""7 AM-9 PM"", ""Saturday"": ""7 AM-9 PM"", ""Sunday"": ""7 AM-9 PM""}",OPERATIONAL,$$,TRUE
Papa Del's Pizza Factory,Pizza restaurant,+1 217-359-7700,None,1201 S Neil St,Champaign,61820,Illinois,4.1,2166,867,"{""Monday"": ""10 AM-9 PM"", ""Tuesday"": ""10 AM-9 PM"", ""Wednesday"": ""10 AM-9 PM"", ""Thursday"": ""10 AM-9 PM"", ""Friday"": ""10 AM-10 PM"", ""Saturday"": ""10 AM-10 PM"", ""Sunday"": ""10 AM-9 PM""}",OPERATIONAL,$$,TRUE
Papa Johns Pizza,Pizza restaurant,+1 217-355-5858,Campustown,106 E Green St,Champaign,61820,Illinois,3.4,173,32,"{""Monday"": ""10 AM-12:50 AM"", ""Tuesday"": ""10 AM-12:50 AM"", ""Wednesday"": ""10 AM-12:50 AM"", ""Thursday"": ""10 AM-12:50 AM"", ""Friday"": ""10 AM-2:20 AM"", ""Saturday"": ""10 AM-2:20 AM"", ""Sunday"": ""11 AM-12 AM""}",OPERATIONAL,$,TRUE
